booking_id,property_id,booked_at,check_in,check_out,nightly_rate_usd,cleaning_fee_usd,channel,status,guest_country,rating
B0001,P001,2023-10-12,2024-01-03,2024-01-11,67.93,25.5,Booking.com,completed,Argentina,4.4
B0002,P001,2024-01-20,2024-01-28,2024-02-03,66.16,25.5,Airbnb,completed,Argentina,4.4
B0003,P001,2023-12-12,2024-02-21,2024-02-29,76.4,25.5,Booking.com,completed,Argentina,4.8
B0004,P001,2023-12-06,2024-03-08,2024-03-16,82.72,25.5,Airbnb,cancelled,Spain,
B0005,P001,2024-02-08,2024-03-18,2024-03-26,73.01,25.5,Direct,completed,Argentina,5.0
B0006,P001,2024-02-16,2024-03-12,2024-03-17,87.17,25.5,Expedia,completed,Argentina,4.8
B0007,P001,2024-02-15,2024-04-16,2024-04-20,72.9,25.5,Booking.com,completed,Brazil,4.6
B0008,P001,2024-01-12,2024-04-12,2024-04-15,89.35,25.5,Expedia,cancelled,Chile,
B0009,P001,2024-03-21,2024-05-27,2024-06-01,70.88,25.5,Airbnb,completed,Chile,4.8
B0010,P001,2024-02-04,2024-05-08,2024-05-14,70.6,25.5,Direct,completed,Brazil,4.8
B0011,P001,2024-03-29,2024-05-23,2024-05-25,73.83,25.5,Direct,completed,Brazil,4.9
B0012,P001,2024-03-10,2024-06-02,2024-06-05,65.12,25.5,Airbnb,completed,United States,4.5
B0013,P001,2024-05-14,2024-06-22,2024-06-28,79.41,25.5,Direct,completed,Argentina,4.6
B0014,P001,2024-03-18,2024-06-12,2024-06-19,76.63,25.5,Booking.com,completed,Spain,4.0
B0015,P001,2024-06-17,2024-06-29,2024-07-06,75.28,25.5,Expedia,completed,Argentina,4.5
B0016,P001,2024-06-15,2024-07-23,2024-07-27,65.81,25.5,Airbnb,completed,United States,4.4
B0017,P001,2024-06-21,2024-07-17,2024-07-20,66.36,25.5,Booking.com,completed,Argentina,4.3
B0018,P001,2024-05-24,2024-07-07,2024-07-12,71.19,25.5,Booking.com,completed,Brazil,4.5
B0019,P001,2024-07-25,2024-08-30,2024-09-02,64.33,25.5,Direct,cancelled,Argentina,
B0020,P001,2024-07-29,2024-08-16,2024-08-23,68.05,25.5,Booking.com,completed,Argentina,4.2
B0021,P001,2024-06-27,2024-08-03,2024-08-07,79.71,25.5,Airbnb,completed,Argentina,4.7
B0022,P001,2024-08-02,2024-09-22,2024-09-26,78.07,25.5,Direct,completed,Argentina,4.5
B0023,P001,2024-09-14,2024-10-30,2024-11-07,79.55,25.5,Airbnb,completed,Brazil,4.3
B0024,P001,2024-08-08,2024-10-04,2024-10-06,71.3,25.5,Booking.com,completed,Argentina,4.5
B0025,P001,2024-09-13,2024-10-23,2024-10-25,89.75,25.5,Airbnb,completed,Argentina,4.2
B0026,P001,2024-10-31,2024-11-26,2024-11-29,87.47,25.5,Direct,completed,Argentina,4.6
B0027,P001,2024-11-19,2024-12-13,2024-12-18,63.05,25.5,Direct,completed,Uruguay,4.2
B0028,P001,2024-12-10,2024-12-26,2024-12-28,78.16,25.5,Booking.com,completed,Uruguay,5.0
B0029,P001,2025-01-29,2025-02-16,2025-02-18,70.1,25.5,Direct,cancelled,Brazil,
B0030,P001,2024-12-11,2025-02-11,2025-02-17,73.94,25.5,Direct,completed,United States,4.3
B0031,P001,2024-12-08,2025-03-05,2025-03-12,85.86,25.5,Airbnb,completed,Brazil,4.2
B0032,P001,2025-02-15,2025-03-15,2025-03-21,75.08,25.5,Booking.com,completed,Chile,5.0
B0033,P001,2025-01-04,2025-03-29,2025-04-02,78.89,25.5,Booking.com,completed,Argentina,5.0
B0034,P001,2025-03-23,2025-04-13,2025-04-18,79.38,25.5,Booking.com,completed,Argentina,4.1
B0035,P001,2025-01-12,2025-04-03,2025-04-08,87.44,25.5,Expedia,completed,Chile,4.1
B0036,P001,2025-04-17,2025-04-21,2025-04-27,79.74,25.5,Direct,completed,Argentina,4.6
B0037,P001,2025-02-18,2025-05-19,2025-05-23,71.58,25.5,Airbnb,completed,Chile,4.4
B0038,P001,2025-03-29,2025-06-15,2025-06-23,69.46,25.5,Booking.com,completed,Argentina,4.6
B0039,P001,2025-04-10,2025-06-23,2025-06-28,70.21,25.5,Booking.com,cancelled,Brazil,
B0040,P001,2025-06-08,2025-06-12,2025-06-15,73.69,25.5,Direct,completed,Brazil,4.2
B0041,P001,2025-03-07,2025-06-05,2025-06-12,79.2,25.5,Booking.com,completed,Spain,4.1
B0042,P001,2025-04-21,2025-07-17,2025-07-21,78.2,25.5,Booking.com,completed,Argentina,4.1
B0043,P001,2025-05-29,2025-07-14,2025-07-16,71.25,25.5,Airbnb,completed,Spain,4.4
B0044,P001,2025-05-06,2025-07-21,2025-07-29,63.59,25.5,Booking.com,completed,Brazil,4.9
B0045,P001,2025-07-23,2025-08-01,2025-08-07,74.43,25.5,Direct,completed,Brazil,4.6
B0046,P001,2025-07-11,2025-08-07,2025-08-10,64.31,25.5,Booking.com,completed,Brazil,4.3
B0047,P001,2025-07-21,2025-08-27,2025-08-30,66.21,25.5,Airbnb,completed,Chile,4.6
B0048,P001,2025-07-06,2025-09-15,2025-09-20,79.34,25.5,Direct,completed,Argentina,4.2
B0049,P001,2025-07-19,2025-09-29,2025-10-07,62.23,25.5,Direct,completed,Uruguay,4.5
B0050,P001,2025-09-04,2025-10-27,2025-10-29,72.79,25.5,Airbnb,completed,Argentina,4.2
B0051,P001,2025-08-21,2025-10-10,2025-10-16,73.81,25.5,Booking.com,completed,Brazil,4.1
B0052,P001,2025-11-05,2025-11-25,2025-11-27,77.51,25.5,Booking.com,completed,Brazil,4.7
B0053,P001,2025-08-18,2025-11-18,2025-11-23,82.59,25.5,Airbnb,completed,Argentina,4.8
B0054,P001,2025-12-05,2025-12-28,2025-12-31,75.45,25.5,Booking.com,completed,Brazil,4.1
B0055,P002,2023-12-10,2024-01-11,2024-01-16,86.22,33.0,Direct,cancelled,Argentina,
B0056,P002,2023-12-16,2024-02-18,2024-02-24,106.33,33.0,Booking.com,completed,Brazil,4.4
B0057,P002,2024-01-28,2024-02-01,2024-02-04,101.05,33.0,Booking.com,completed,Argentina,4.1
B0058,P002,2024-02-02,2024-02-25,2024-02-27,104.98,33.0,Direct,completed,Chile,4.0
B0059,P002,2024-01-22,2024-03-26,2024-03-30,96.71,33.0,Airbnb,completed,Argentina,5.0
B0060,P002,2024-01-31,2024-03-27,2024-04-04,121.97,33.0,Expedia,cancelled,Brazil,
B0061,P002,2024-02-17,2024-03-19,2024-03-24,115.24,33.0,Direct,cancelled,United States,
B0062,P002,2024-03-31,2024-04-03,2024-04-11,109.25,33.0,Booking.com,completed,Brazil,4.1
B0063,P002,2024-02-17,2024-04-29,2024-05-03,123.33,33.0,Airbnb,completed,Argentina,4.9
B0064,P002,2024-05-31,2024-06-22,2024-06-30,88.14,33.0,Direct,completed,Argentina,4.3
B0065,P002,2024-06-06,2024-07-02,2024-07-10,91.85,33.0,Booking.com,completed,Argentina,5.0
B0066,P002,2024-04-23,2024-07-24,2024-08-01,100.39,33.0,Airbnb,completed,Brazil,4.1
B0067,P002,2024-08-07,2024-08-14,2024-08-19,93.88,33.0,Direct,completed,Argentina,4.1
B0068,P002,2024-06-03,2024-08-30,2024-09-06,87.06,33.0,Airbnb,completed,Chile,4.1
B0069,P002,2024-09-24,2024-10-24,2024-10-30,106.34,33.0,Airbnb,cancelled,Argentina,
B0070,P002,2024-07-07,2024-10-08,2024-10-14,114.47,33.0,Airbnb,completed,Brazil,4.7
B0071,P002,2024-07-11,2024-10-14,2024-10-20,100.7,33.0,Booking.com,completed,United States,4.7
B0072,P002,2024-09-14,2024-11-27,2024-12-04,109.34,33.0,Booking.com,completed,Argentina,4.9
B0073,P002,2024-10-10,2024-12-17,2024-12-22,99.0,33.0,Direct,cancelled,United States,
B0074,P002,2024-12-27,2025-01-29,2025-02-01,104.87,33.0,Airbnb,completed,Chile,4.4
B0075,P002,2024-12-21,2025-01-17,2025-01-19,106.75,33.0,Airbnb,completed,Chile,4.2
B0076,P002,2025-03-11,2025-03-26,2025-04-01,120.22,33.0,Airbnb,completed,Argentina,4.9
B0077,P002,2025-02-22,2025-03-23,2025-03-25,122.31,33.0,Booking.com,cancelled,Argentina,
B0078,P002,2024-12-27,2025-03-04,2025-03-07,98.87,33.0,Airbnb,completed,Argentina,4.9
B0079,P002,2025-04-12,2025-05-18,2025-05-25,94.23,33.0,Airbnb,completed,Chile,4.7
B0080,P002,2025-03-31,2025-06-22,2025-06-26,102.97,33.0,Booking.com,cancelled,Argentina,
B0081,P002,2025-05-26,2025-07-20,2025-07-23,101.72,33.0,Direct,completed,Uruguay,5.0
