month,city,gross_booking_value_usd,completed_bookings,prior_year_revenue_usd,yoy_revenue_growth_pct
2024-01,Bariloche,4320.5,7,,
2024-01,Buenos Aires,2086.62,4,,
2024-01,Córdoba,1286.2,4,,
2024-01,Mendoza,1644.81,4,,
2024-02,Bariloche,789.84,2,,
2024-02,Buenos Aires,2475.15,6,,
2024-02,Córdoba,1267.66,4,,
2024-02,Mendoza,2313.31,4,,
2024-03,Bariloche,1329.61,3,,
2024-03,Buenos Aires,2628.42,5,,
2024-03,Córdoba,1369.0,4,,
2024-03,Mendoza,1950.66,3,,
2024-04,Bariloche,2379.99,5,,
2024-04,Buenos Aires,2741.27,5,,
2024-04,Córdoba,2786.5,8,,
2024-04,Mendoza,2561.82,3,,
2024-05,Bariloche,2541.41,5,,
2024-05,Buenos Aires,2007.16,5,,
2024-05,Córdoba,1390.71,4,,
2024-05,Mendoza,4154.01,9,,
2024-06,Bariloche,4374.11,5,,
2024-06,Buenos Aires,3034.37,6,,
2024-06,Córdoba,1935.17,5,,
2024-06,Mendoza,3057.59,7,,
2024-07,Bariloche,7466.01,7,,
2024-07,Buenos Aires,2777.03,6,,
2024-07,Córdoba,1996.1,5,,
2024-07,Mendoza,4154.79,7,,
2024-08,Bariloche,5235.02,5,,
2024-08,Buenos Aires,2431.21,5,,
2024-08,Córdoba,2306.15,8,,
2024-08,Mendoza,3548.08,8,,
2024-09,Bariloche,2667.88,6,,
2024-09,Buenos Aires,1287.48,3,,
2024-09,Córdoba,1423.5,5,,
2024-09,Mendoza,4797.85,8,,
2024-10,Bariloche,2607.29,5,,
2024-10,Buenos Aires,2392.02,5,,
2024-10,Córdoba,1541.95,4,,
2024-10,Mendoza,2156.41,5,,
2024-11,Bariloche,3937.91,8,,
2024-11,Buenos Aires,2208.21,4,,
2024-11,Córdoba,1235.26,4,,
2024-11,Mendoza,2190.63,7,,
2024-12,Bariloche,2451.85,3,,
2024-12,Buenos Aires,775.35,3,,
2024-12,Córdoba,1808.97,5,,
2024-12,Mendoza,535.62,2,,
2025-01,Bariloche,4016.65,6,4320.5,-7.03
2025-01,Buenos Aires,793.81,3,2086.62,-61.96
2025-01,Córdoba,2348.97,5,1286.2,82.63
2025-01,Mendoza,1496.56,3,1644.81,-9.01
2025-02,Bariloche,3185.03,6,789.84,303.25
2025-02,Buenos Aires,1172.61,3,2475.15,-52.62
2025-02,Córdoba,2553.14,6,1267.66,101.41
2025-02,Mendoza,2487.85,3,2313.31,7.55
2025-03,Bariloche,2603.77,5,1329.61,95.83
2025-03,Buenos Aires,3994.79,9,2628.42,51.98
2025-03,Córdoba,1842.43,7,1369.0,34.58
2025-03,Mendoza,5582.21,9,1950.66,186.17
2025-04,Bariloche,2738.02,6,2379.99,15.04
2025-04,Buenos Aires,1687.0,4,2741.27,-38.46
2025-04,Córdoba,2807.12,8,2786.5,0.74
2025-04,Mendoza,3198.98,7,2561.82,24.87
2025-05,Bariloche,4380.55,7,2541.41,72.37
2025-05,Buenos Aires,2595.3,6,2007.16,29.3
2025-05,Córdoba,2316.45,8,1390.71,66.57
2025-05,Mendoza,2501.98,5,4154.01,-39.77
2025-06,Bariloche,5575.44,8,4374.11,27.46
2025-06,Buenos Aires,2456.69,6,3034.37,-19.04
2025-06,Córdoba,2878.65,8,1935.17,48.75
2025-06,Mendoza,5888.49,10,3057.59,92.59
2025-07,Bariloche,7587.36,7,7466.01,1.63
2025-07,Buenos Aires,3105.27,8,2777.03,11.82
2025-07,Córdoba,3028.22,7,1996.1,51.71
2025-07,Mendoza,3135.78,7,4154.79,-24.53
2025-08,Bariloche,5595.6,8,5235.02,6.89
2025-08,Buenos Aires,3618.34,8,2431.21,48.83
2025-08,Córdoba,2363.31,7,2306.15,2.48
2025-08,Mendoza,1910.59,4,3548.08,-46.15
2025-09,Bariloche,2625.0,4,2667.88,-1.61
2025-09,Buenos Aires,1804.54,4,1287.48,40.16
2025-09,Córdoba,2354.3,6,1423.5,65.39
2025-09,Mendoza,4081.31,7,4797.85,-14.93
2025-10,Bariloche,2966.36,8,2607.29,13.77
2025-10,Buenos Aires,3562.97,7,2392.02,48.95
2025-10,Córdoba,1686.21,5,1541.95,9.36
2025-10,Mendoza,2575.88,6,2156.41,19.45
2025-11,Bariloche,3239.89,5,3937.91,-17.73
2025-11,Buenos Aires,2162.06,5,2208.21,-2.09
2025-11,Córdoba,1435.59,4,1235.26,16.22
2025-11,Mendoza,4120.74,7,2190.63,88.11
2025-12,Bariloche,4005.78,5,2451.85,63.38
2025-12,Buenos Aires,2601.65,5,775.35,235.55
2025-12,Córdoba,3146.84,9,1808.97,73.96
2025-12,Mendoza,4051.04,9,535.62,656.33
