month,active_properties,available_nights,booked_nights,occupancy_pct,lodging_revenue_usd,cleaning_revenue_usd,gross_booking_value_usd,adr_usd,revpar_usd,completed_bookings,cancelled_bookings,cancellation_rate_pct,avg_lead_time_days,avg_length_of_stay
2024-01,9,279,91,32.62,8170.03,559.5,8729.53,89.78,29.28,19,2,9.52,58.6,5.3
2024-02,9,261,74,28.35,6949.06,505.5,7454.56,93.91,26.62,16,3,15.79,43.5,4.1
2024-03,10,310,76,24.52,6564.99,442.5,7007.49,86.38,21.18,15,7,31.82,48.5,5.3
2024-04,10,300,97,32.33,8907.91,655.5,9563.41,91.83,29.69,21,4,16.0,59.5,5.0
2024-05,11,341,127,37.24,10025.75,691.5,10717.25,78.94,29.4,23,1,4.17,44.0,5.2
2024-06,12,360,125,34.72,10899.35,691.5,11590.85,87.19,30.28,23,3,11.54,47.7,5.6
2024-07,12,372,136,36.56,14358.4,772.5,15130.9,105.58,38.6,25,6,19.35,49.9,5.8
2024-08,12,372,142,38.17,13856.67,798.0,14654.67,97.58,37.25,26,2,7.14,50.6,5.3
2024-09,12,360,118,32.78,10785.33,688.5,11473.83,91.4,29.96,22,1,4.35,51.7,4.8
2024-10,12,372,87,23.39,7016.97,567.0,7583.97,80.65,18.86,19,3,13.64,55.3,5.3
2024-11,12,360,109,30.28,9845.69,706.5,10552.19,90.33,27.35,23,2,8.0,57.3,4.2
2024-12,12,372,64,17.2,5400.19,384.0,5784.19,84.38,14.52,13,5,27.78,49.3,4.8
2025-01,12,372,73,19.62,7202.35,546.0,7748.35,98.66,19.36,17,3,15.0,51.5,4.8
2025-02,12,336,97,28.87,9497.8,526.5,10024.3,97.92,28.27,18,3,14.29,53.0,5.1
2025-03,12,372,130,34.95,12216.86,907.5,13124.36,93.98,32.84,30,4,11.76,46.3,4.6
2025-04,12,360,126,35.0,10242.26,727.5,10969.76,81.29,28.45,25,1,3.85,48.7,4.8
2025-05,12,372,134,36.02,11457.77,790.5,12248.27,85.51,30.8,26,1,3.7,52.9,5.0
2025-06,12,360,162,45.0,15023.28,973.5,15996.78,92.74,41.73,32,3,8.57,42.0,5.3
2025-07,12,372,158,42.47,15550.13,882.0,16432.13,98.42,41.8,29,2,6.45,55.3,5.5
2025-08,12,372,134,36.02,13833.07,846.0,14679.07,103.23,37.19,27,1,3.57,49.2,4.7
2025-09,12,360,113,31.39,9791.99,655.5,10447.49,86.65,27.2,21,2,8.7,52.9,5.6
2025-10,12,372,119,31.99,10388.45,790.5,11178.95,87.3,27.93,26,1,3.7,42.1,4.3
2025-11,12,360,114,31.67,9671.47,648.0,10319.47,84.84,26.87,21,2,8.7,47.1,5.7
2025-12,12,372,160,43.01,13934.81,879.0,14813.81,87.09,37.46,28,0,0.0,50.7,5.4
